stage,id,label
1,1384,0
1,503,0
1,716,0
1,2105,0
1,1689,0
1,2104,0
1,804,0
1,1159,0
1,1607,0
1,1487,0
1,1291,0
1,1976,0
1,1964,0
1,1418,0
1,719,0
1,905,0
1,2094,0
1,760,0
1,1099,0
1,1829,0
1,1035,0
1,1391,0
1,1806,0
1,2166,0
1,1425,0
1,555,0
1,899,0
1,1454,0
1,295,0
1,813,0
1,17,0
1,2058,0
1,239,0
1,811,0
1,1532,0
1,590,0
1,972,0
1,1121,0
1,2147,0
1,826,0
1,601,0
1,1359,0
1,238,0
1,1710,0
1,259,0
1,76,0
1,445,0
1,2040,0
1,623,0
1,1407,0
1,1249,0
1,1778,0
1,497,0
1,1628,0
1,1643,0
1,1749,0
1,635,0
1,109,0
1,1917,0
1,126,0
1,456,0
1,1338,0
1,1958,0
1,1409,0
1,1092,0
1,113,0
1,189,0
1,2027,0
1,1280,0
1,1945,0
1,1918,0
1,1432,0
1,983,0
1,1005,0
1,2150,0
1,1045,0
1,364,0
1,805,0
1,1327,0
1,407,0
1,1786,0
1,1539,0
1,2006,0
1,1868,0
1,1417,0
1,1805,0
1,875,0
1,1700,0
1,2201,0
1,688,0
1,223,0
1,1334,0
1,1330,0
1,265,0
1,1928,0
1,1022,0
1,1279,0
1,971,0
1,2034,0
1,1080,0
1,2117,0
1,886,0
1,1886,0
1,266,0
1,706,0
1,1011,0
1,1527,0
1,1768,0
1,682,0
1,1008,0
1,731,0
1,315,0
1,45,0
1,1173,0
1,572,0
1,387,0
1,2142,0
1,207,0
1,812,0
1,2181,0
1,1353,0
1,938,0
1,1271,0
1,167,0
1,1653,0
1,855,0
1,1677,0
1,2186,0
1,1952,0
1,487,0
1,1963,0
1,1140,0
1,978,0
1,1106,0
1,1041,0
1,1585,0
1,185,0
1,1802,0
1,1600,0
1,278,0
1,985,0
1,31,0
1,447,0
1,330,0
1,1443,0
1,1589,0
1,613,0
1,1311,0
1,1284,0
1,1337,0
1,2010,0
1,199,0
1,1161,0
1,1559,0
1,151,0
1,296,0
1,352,0
1,1994,0
1,2156,0
1,1906,0
1,42,0
1,1864,0
1,1892,0
1,163,0
1,859,0
1,1483,0
1,268,0
1,1920,0
1,280,0
1,963,0
1,256,0
1,807,0
1,1075,0
1,1352,0
1,1953,0
1,9,0
1,290,0
1,251,0
1,533,0
1,1221,0
1,1836,0
1,876,0
1,547,0
1,2075,0
1,1937,0
1,1803,0
1,46,0
1,1620,0
1,2041,0
1,1738,0
1,430,0
1,1363,0
1,1069,0
1,1603,0
1,1,0
1,1116,0
1,1955,0
1,596,0
1,1331,0
1,1943,0
1,2018,0
1,137,0
1,362,0
1,1572,0
1,1502,0
1,887,0
1,942,0
1,1659,0
1,2093,0
1,242,0
1,378,0
1,1052,0
1,502,0
1,521,0
1,154,0
1,1375,0
1,2078,0
1,940,0
1,658,0
1,1464,0
1,2004,0
1,756,0
1,389,0
1,79,0
1,1785,0
1,117,0
1,1913,0
1,871,0
1,831,0
1,55,0
1,1727,0
1,872,0
1,1935,0
1,712,0
1,331,0
1,858,0
1,1312,0
1,1862,0
1,415,0
1,618,0
1,1477,0
1,2005,0
1,1767,0
1,741,0
1,517,0
1,1552,0
1,789,0
1,2081,0
1,1991,0
1,205,0
1,1197,0
1,376,0
1,1789,0
1,368,0
1,1073,0
1,1445,0
1,785,0
1,2024,0
1,1896,0
1,395,0
1,1832,0
1,769,0
1,2138,0
1,1103,0
1,891,0
1,1273,0
1,1808,0
1,1840,0
1,1888,0
1,806,0
1,1839,0
1,343,0
1,2160,0
1,1804,0
1,1605,0
1,2073,0
1,1204,0
1,1232,0
1,1549,0
1,1517,0
1,1289,0
1,587,0
1,181,0
1,2086,0
1,486,0
1,960,0
1,495,0
1,514,0
1,1188,0
1,1583,0
1,2072,0
1,518,0
1,1887,0
1,1275,0
1,1775,0
1,2132,0
1,2143,0
1,1078,0
1,2012,0
1,1269,0
1,1029,0
1,121,0
1,1650,0
1,322,0
1,1854,0
1,1178,0
1,403,0
1,49,0
1,2198,0
1,593,0
1,1424,0
1,1742,0
1,186,0
1,1302,0
1,1614,0
1,466,0
1,1946,0
1,511,0
1,1196,0
1,645,0
1,1703,0
1,1310,0
1,996,0
1,643,0
1,1115,0
1,717,0
1,1002,0
1,1320,0
1,350,0
1,2068,0
1,1736,0
1,1482,0
1,410,0
1,2092,0
1,1696,0
1,11,0
1,1645,0
1,2205,0
1,24,0
1,664,0
1,1195,0
1,1579,0
1,200,0
1,1682,0
1,1866,0
1,1672,0
1,1859,0
1,2119,0
1,23,0
1,1606,0
1,1929,0
1,1101,0
1,1449,0
1,853,0
1,1091,0
1,357,0
1,16,0
1,1745,0
1,808,0
1,642,0
1,1554,0
1,66,0
1,153,0
1,1444,0
1,795,0
1,1791,0
1,1747,0
1,1199,0
1,1486,0
1,437,0
1,1194,0
1,1495,0
1,718,0
1,2051,0
1,1788,0
1,1574,0
1,2159,0
1,1759,0
1,1225,0
1,2001,0
1,999,0
1,1841,0
1,956,0
1,308,0
1,701,0
1,2053,0
1,1792,0
1,321,0
1,814,0
1,911,0
1,774,0
1,335,0
1,749,0
1,957,0
1,1890,0
1,1122,0
1,1562,0
1,2037,0
1,1513,0
1,260,0
1,1844,0
1,1010,0
1,582,0
1,2020,0
1,1647,0
1,991,0
1,1141,0
1,670,0
1,1914,0
1,574,0
1,516,0
1,494,0
1,444,0
1,2122,0
1,551,0
1,931,0
1,1297,0
1,1067,0
1,939,0
1,2170,0
1,1874,0
1,1346,0
1,1412,0
1,1436,0
1,575,0
1,1826,0
1,355,0
1,709,0
1,178,0
1,284,0
1,1422,0
1,1938,0
1,1100,0
1,2148,0
1,768,0
1,1722,0
1,1000,0
1,560,0
1,1098,0
1,1748,0
1,1897,0
1,578,0
2,576,1
2,352,1
2,246,1
2,372,1
2,491,1
2,188,1
2,328,1
2,61,1
2,593,1
2,506,1
2,212,1
2,811,1
2,343,1
2,207,1
2,135,1
2,392,1
2,358,1
2,406,1
2,159,1
2,570,1
2,806,1
2,201,1
2,769,1
2,645,1
2,348,1
2,105,1
2,586,1
2,56,1
2,224,1
2,732,1
2,815,1
2,483,1
2,429,1
2,381,1
2,60,1
2,24,1
2,515,1
2,231,1
2,368,1
2,860,1
2,28,1
2,371,1
2,822,1
2,668,1
2,171,1
2,760,1
2,206,1
2,413,1
2,786,1
2,560,1
2,715,1
2,862,1
2,557,1
2,50,1
2,142,1
2,106,1
2,227,1
2,463,1
2,70,1
2,232,1
2,680,1
2,53,1
2,45,1
2,861,1
2,853,1
2,247,1
2,662,1
2,524,1
2,223,1
2,23,1
2,315,1
2,203,1
2,234,1
2,400,1
2,513,1
2,827,1
2,741,1
2,422,1
2,737,1
2,801,1
2,327,1
2,241,1
2,141,1
2,488,1
2,468,1
2,734,1
2,579,1
2,32,1
2,19,1
2,710,1
2,331,1
2,67,1
2,738,1
2,728,1
2,44,1
2,532,1
2,717,1
2,607,1
2,546,1
2,365,1
2,221,1
2,340,1
2,378,1
2,138,1
2,238,1
2,168,1
2,805,1
2,566,1
2,584,1
2,58,1
2,252,1
2,308,1
2,248,1
2,121,1
2,479,1
2,600,1
2,26,1
2,609,1
2,430,1
2,457,1
2,43,1
2,191,1
2,8,1
2,482,1
2,626,1
2,409,1
2,233,1
2,450,1
2,5,1
2,440,1
2,198,1
2,721,1
2,401,1
2,84,1
2,209,1
2,804,1
2,522,1
2,694,1
2,423,1
2,190,1
2,508,1
2,299,1
2,42,1
2,128,1
2,464,1
2,290,1
2,357,1
2,698,1
2,778,1
2,65,1
2,558,1
2,2,1
2,573,1
2,284,1
2,826,1
2,555,1
2,33,1
2,294,1
2,149,1
2,533,1
2,481,1
2,849,1
2,779,1
2,765,1
2,451,1
2,466,1
2,831,1
2,523,1
2,255,1
2,771,1
2,657,1
2,359,1
2,653,1
