stage,id,label
1,1384,0
1,503,0
1,716,1
1,2105,0
1,1689,0
1,2104,1
1,804,1
1,1159,0
1,1607,1
1,1487,1
1,1291,1
1,1976,0
1,1964,0
1,1418,0
1,719,0
1,905,0
1,2094,0
1,760,0
1,1099,1
1,1829,1
1,1035,1
1,1391,0
1,1806,0
1,2166,1
1,1425,1
1,555,0
1,899,1
1,1454,0
1,295,1
1,813,0
1,17,0
1,2058,1
1,239,0
1,811,0
1,1532,0
1,590,1
1,972,1
1,1121,1
1,2147,1
1,826,0
1,601,1
1,1359,1
1,238,1
1,1710,1
1,259,0
1,76,1
1,445,1
1,2040,1
1,623,0
1,1407,0
1,1249,1
1,1778,0
1,497,1
1,1628,0
1,1643,0
1,1749,1
1,635,1
1,109,0
1,1917,0
1,126,0
1,456,1
1,1338,0
1,1958,1
1,1409,1
1,1092,1
1,113,0
1,189,1
1,2027,1
1,1280,1
1,1945,1
1,1918,1
1,1432,0
1,983,1
1,1005,0
1,2150,1
1,1045,0
1,364,1
1,805,1
1,1327,0
1,407,1
1,1786,1
1,1539,0
1,2006,0
1,1868,0
1,1417,1
1,1805,0
1,875,1
1,1700,1
1,2201,1
1,688,1
1,223,1
1,1334,1
1,1330,1
1,265,1
1,1928,1
1,1022,0
1,1279,1
1,971,0
1,2034,1
1,1080,0
1,2117,1
1,886,1
1,1886,1
1,266,0
1,706,0
1,1011,1
1,1527,1
1,1768,1
1,682,1
1,1008,1
1,731,1
1,315,1
1,45,1
1,1173,1
1,572,1
1,387,1
1,2142,1
1,207,1
1,812,1
1,2181,0
1,1353,1
1,938,1
1,1271,0
1,167,0
1,1653,0
1,855,1
1,1677,1
1,2186,1
1,1952,0
1,487,0
1,1963,1
1,1140,0
1,978,1
1,1106,1
1,1041,1
1,1585,1
1,185,0
1,1802,1
1,1600,0
1,278,1
1,985,0
1,31,1
1,447,0
1,330,1
1,1443,1
1,1589,1
1,613,1
1,1311,1
1,1284,0
1,1337,1
1,2010,1
1,199,1
1,1161,1
1,1559,0
1,151,1
1,296,1
1,352,0
1,1994,1
1,2156,1
1,1906,1
1,42,0
1,1864,1
1,1892,1
1,163,0
1,859,0
1,1483,0
1,268,0
1,1920,0
1,280,1
1,963,0
1,256,1
1,807,0
1,1075,0
1,1352,1
1,1953,1
1,9,1
1,290,1
1,251,0
1,533,0
1,1221,0
1,1836,0
1,876,1
1,547,1
1,2075,1
1,1937,1
1,1803,1
1,46,1
1,1620,0
1,2041,1
1,1738,0
1,430,0
1,1363,1
1,1069,1
1,1603,1
1,1,1
1,1116,1
1,1955,1
1,596,0
1,1331,1
1,1943,1
1,2018,1
1,137,0
1,362,1
1,1572,1
1,1502,1
1,887,1
1,942,1
1,1659,0
1,2093,1
1,242,1
1,378,1
1,1052,0
1,502,1
1,521,0
1,154,1
1,1375,1
1,2078,1
1,940,1
1,658,1
1,1464,1
1,2004,1
1,756,1
1,389,1
1,79,1
1,1785,1
1,117,1
1,1913,0
1,871,0
1,831,1
1,55,1
1,1727,0
1,872,0
1,1935,0
1,712,1
1,331,1
1,858,0
1,1312,1
1,1862,1
1,415,1
1,618,1
1,1477,1
1,2005,1
1,1767,1
1,741,1
1,517,1
1,1552,1
1,789,1
1,2081,1
1,1991,1
1,205,1
1,1197,1
1,376,0
1,1789,1
1,368,0
1,1073,1
1,1445,0
1,785,1
1,2024,0
1,1896,0
1,395,1
1,1832,1
1,769,1
1,2138,1
1,1103,1
1,891,1
1,1273,0
1,1808,0
1,1840,1
1,1888,1
1,806,1
1,1839,0
1,343,0
1,2160,1
1,1804,0
1,1605,1
1,2073,1
1,1204,0
1,1232,1
1,1549,1
1,1517,1
1,1289,1
1,587,1
1,181,0
1,2086,1
1,486,1
1,960,1
1,495,1
1,514,0
1,1188,1
1,1583,1
1,2072,0
1,518,0
1,1887,1
1,1275,1
1,1775,1
1,2132,1
1,2143,0
1,1078,1
1,2012,0
1,1269,1
1,1029,0
1,121,1
1,1650,1
1,322,1
1,1854,1
1,1178,1
1,403,1
1,49,1
1,2198,1
1,593,1
1,1424,0
1,1742,1
1,186,0
1,1302,0
1,1614,1
1,466,1
1,1946,1
1,511,0
1,1196,1
1,645,1
1,1703,0
1,1310,1
1,996,0
1,643,0
1,1115,1
1,717,1
1,1002,0
1,1320,0
1,350,1
1,2068,0
1,1736,1
1,1482,1
1,410,1
1,2092,1
1,1696,1
1,11,1
1,1645,1
1,2205,1
1,24,1
1,664,1
1,1195,1
1,1579,1
1,200,1
1,1682,0
1,1866,1
1,1672,1
1,1859,1
1,2119,1
1,23,0
1,1606,1
1,1929,1
1,1101,1
1,1449,1
1,853,1
1,1091,0
1,357,1
1,16,1
1,1745,0
1,808,0
1,642,1
1,1554,1
1,66,0
1,153,1
1,1444,0
1,795,1
1,1791,1
1,1747,1
1,1199,1
1,1486,1
1,437,0
1,1194,0
1,1495,1
1,718,1
1,2051,1
1,1788,1
1,1574,1
1,2159,1
1,1759,1
1,1225,0
1,2001,1
1,999,1
1,1841,1
1,956,1
1,308,0
1,701,1
1,2053,1
1,1792,1
1,321,1
1,814,1
1,911,0
1,774,0
1,335,0
1,749,1
1,957,0
1,1890,1
1,1122,0
1,1562,0
1,2037,1
1,1513,1
1,260,1
1,1844,1
1,1010,0
1,582,1
1,2020,1
1,1647,0
1,991,1
1,1141,1
1,670,1
1,1914,1
1,574,0
1,516,1
1,494,1
1,444,1
1,2122,1
1,551,1
1,931,1
1,1297,1
1,1067,0
1,939,1
1,2170,1
1,1874,0
1,1346,0
1,1412,1
1,1436,1
1,575,1
1,1826,1
1,355,1
1,709,1
1,178,1
1,284,1
1,1422,1
1,1938,0
1,1100,1
1,2148,0
1,768,0
1,1722,1
1,1000,1
1,560,1
1,1098,0
1,1748,1
1,1897,1
1,578,1
2,576,0
2,352,1
2,246,1
2,372,0
2,491,1
2,188,0
2,328,0
2,61,1
2,593,1
2,506,0
2,212,1
2,811,1
2,343,1
2,207,1
2,135,0
2,392,0
2,358,0
2,406,0
2,159,1
2,570,0
2,806,0
2,201,1
2,769,1
2,645,0
2,348,0
2,105,0
2,586,1
2,56,1
2,224,1
2,732,0
2,815,0
2,483,0
2,429,0
2,381,0
2,60,1
2,24,1
2,515,0
2,231,1
2,368,1
2,860,1
2,28,1
2,371,0
2,822,0
2,668,0
2,171,1
2,760,1
2,206,1
2,413,1
2,786,1
2,560,1
2,715,0
2,862,1
2,557,1
2,50,1
2,142,0
2,106,0
2,227,1
2,463,1
2,70,1
2,232,0
2,680,1
2,53,1
2,45,1
2,861,1
2,853,0
2,247,0
2,662,0
2,524,0
2,223,1
2,23,1
2,315,0
2,203,1
2,234,1
2,400,0
2,513,0
2,827,0
2,741,0
2,422,0
2,737,0
2,801,0
2,327,0
2,241,0
2,141,0
2,488,0
2,468,0
2,734,1
2,579,0
2,32,1
2,19,1
2,710,1
2,331,0
2,67,1
2,738,0
2,728,1
2,44,1
2,532,1
2,717,1
2,607,1
2,546,1
2,365,1
2,221,0
2,340,0
2,378,1
2,138,0
2,238,0
2,168,1
2,805,0
2,566,1
2,584,1
2,58,1
2,252,0
2,308,1
2,248,1
2,121,0
2,479,1
2,600,0
2,26,1
2,609,1
2,430,0
2,457,0
2,43,1
2,191,1
2,8,1
2,482,1
2,626,0
2,409,1
2,233,1
2,450,0
2,5,0
2,440,1
2,198,1
2,721,0
2,401,1
2,84,0
2,209,1
2,804,0
2,522,0
2,694,1
2,423,0
2,190,1
2,508,1
2,299,1
2,42,1
2,128,0
2,464,0
2,290,0
2,357,0
2,698,0
2,778,1
2,65,1
2,558,1
2,2,0
2,573,0
2,284,1
2,826,1
2,555,1
2,33,1
2,294,0
2,149,1
2,533,1
2,481,1
2,849,1
2,779,0
2,765,0
2,451,1
2,466,1
2,831,0
2,523,0
2,255,0
2,771,1
2,657,1
2,359,1
2,653,0
