stage,id,label
1,1384,1
1,503,1
1,716,1
1,2105,1
1,1689,1
1,2104,1
1,804,1
1,1159,1
1,1607,1
1,1487,1
1,1291,1
1,1976,1
1,1964,1
1,1418,1
1,719,1
1,905,1
1,2094,1
1,760,1
1,1099,1
1,1829,1
1,1035,1
1,1391,1
1,1806,1
1,2166,1
1,1425,1
1,555,1
1,899,1
1,1454,1
1,295,1
1,813,1
1,17,1
1,2058,1
1,239,1
1,811,1
1,1532,1
1,590,1
1,972,1
1,1121,1
1,2147,1
1,826,1
1,601,1
1,1359,1
1,238,1
1,1710,1
1,259,1
1,76,1
1,445,1
1,2040,1
1,623,1
1,1407,1
1,1249,1
1,1778,1
1,497,1
1,1628,1
1,1643,1
1,1749,1
1,635,1
1,109,1
1,1917,1
1,126,1
1,456,1
1,1338,1
1,1958,1
1,1409,1
1,1092,1
1,113,1
1,189,1
1,2027,1
1,1280,1
1,1945,1
1,1918,1
1,1432,1
1,983,1
1,1005,1
1,2150,1
1,1045,1
1,364,1
1,805,1
1,1327,1
1,407,1
1,1786,1
1,1539,1
1,2006,1
1,1868,1
1,1417,1
1,1805,1
1,875,1
1,1700,1
1,2201,1
1,688,1
1,223,1
1,1334,1
1,1330,1
1,265,1
1,1928,1
1,1022,1
1,1279,1
1,971,1
1,2034,1
1,1080,1
1,2117,1
1,886,1
1,1886,1
1,266,1
1,706,1
1,1011,1
1,1527,1
1,1768,1
1,682,1
1,1008,1
1,731,1
1,315,1
1,45,1
1,1173,1
1,572,1
1,387,1
1,2142,1
1,207,1
1,812,1
1,2181,1
1,1353,1
1,938,1
1,1271,1
1,167,1
1,1653,1
1,855,1
1,1677,1
1,2186,1
1,1952,1
1,487,1
1,1963,1
1,1140,1
1,978,1
1,1106,1
1,1041,1
1,1585,1
1,185,1
1,1802,1
1,1600,1
1,278,1
1,985,1
1,31,1
1,447,1
1,330,1
1,1443,1
1,1589,1
1,613,1
1,1311,1
1,1284,1
1,1337,1
1,2010,1
1,199,1
1,1161,1
1,1559,1
1,151,1
1,296,1
1,352,1
1,1994,1
1,2156,1
1,1906,1
1,42,1
1,1864,1
1,1892,1
1,163,1
1,859,1
1,1483,1
1,268,1
1,1920,1
1,280,1
1,963,1
1,256,1
1,807,1
1,1075,1
1,1352,1
1,1953,1
1,9,1
1,290,1
1,251,1
1,533,1
1,1221,1
1,1836,1
1,876,1
1,547,1
1,2075,1
1,1937,1
1,1803,1
1,46,1
1,1620,1
1,2041,1
1,1738,1
1,430,1
1,1363,1
1,1069,1
1,1603,1
1,1,1
1,1116,1
1,1955,1
1,596,1
1,1331,1
1,1943,1
1,2018,1
1,137,1
1,362,1
1,1572,1
1,1502,1
1,887,1
1,942,1
1,1659,1
1,2093,1
1,242,1
1,378,1
1,1052,1
