pair,mi_a,mi_b,mi_joint,synergy_bits,synergy_pct_of_entropy
age_category x has_digit,0.022240312762501158,0.02828570964723698,0.05063333597349662,0.00010731356375848211,0.00014228955726095245
age_category x n_words_bucket,0.022240312762501158,0.2243644841337038,0.24418763703900703,-0.002417159857197926,-0.0032049686345679202
depth x has_digit,0.08078626101763009,0.02828570964723698,0.10665373083261598,-0.00241823983225109,-0.0032064005986811753
depth x age_category,0.08078626101763009,0.022240312762501158,0.09793023700047632,-0.005096336779654931,-0.00675735180747356
decode_status x age_category,0.18067715216436242,0.022240312762501158,0.19652969747155935,-0.006387767455304227,-0.008469689862753425
decode_status x has_digit,0.18067715216436242,0.02828570964723698,0.19454551051392543,-0.014417351297673964,-0.019116302368250255
n_words_bucket x has_digit,0.2243644841337038,0.02828570964723698,0.22932324399763127,-0.023326949783309514,-0.03092974681546937
decode_status x depth,0.18067715216436242,0.08078626101763009,0.2190954231471114,-0.04236799003488112,-0.05617670621457842
depth x n_words_bucket,0.08078626101763009,0.2243644841337038,0.26116775850468027,-0.04398298664665362,-0.05831806789169339
decode_status x n_words_bucket,0.18067715216436242,0.2243644841337038,0.267478645145129,-0.13756299115293724,-0.1823979786068435
