id,n_condition_tokens,condition_present,condition_present_count,n_condition_tokens_matched,negation_count_total,nearest_negation_distance,neg_before_condition,neg_after_condition,neg_within_5,neg_within_10,neg_within_20,neg_within_50,condition_negated_exact,condition_affirmed,condition_negated,condition_unknown_h19
526,3,0,0,0,8,100.0,0,0,0,0,0,0,0,0,0,1
314,6,1,3,2,0,100.0,0,0,0,0,0,0,0,1,0,0
672,5,1,18,2,26,358.0,0,0,0,0,0,0,0,1,0,0
707,4,0,0,0,11,100.0,0,0,0,0,0,0,0,0,0,1
665,9,1,1,1,15,1856.0,0,0,0,0,0,0,0,1,0,0
346,3,1,2,1,5,96.0,0,0,0,0,0,0,0,1,0,0
213,9,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
509,4,1,3,2,9,112.0,0,0,0,0,0,0,0,1,0,0
559,5,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
321,3,1,1,1,26,76.0,0,0,0,0,0,0,0,1,0,0
49,5,1,4,2,1,203.0,0,0,0,0,0,0,0,1,0,0
112,3,1,4,1,5,59.0,0,0,0,0,0,0,0,1,0,0
338,4,1,4,2,1,271.0,0,0,0,0,0,0,0,1,0,0
447,2,1,2,1,3,305.0,0,0,0,0,0,0,0,1,0,0
554,3,1,1,1,4,301.0,0,0,0,0,0,0,0,1,0,0
643,4,1,2,2,13,2351.0,0,0,0,0,0,0,0,1,0,0
703,2,1,1,1,31,80.0,0,0,0,0,0,0,0,1,0,0
578,3,1,1,1,7,67.0,0,0,0,0,0,0,0,1,0,0
527,3,1,1,1,4,281.0,0,0,0,0,0,0,0,1,0,0
790,15,1,17,4,124,0.0,1,0,1,1,1,1,1,0,1,0
192,4,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
583,5,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
580,7,1,1,1,24,67.0,0,0,0,0,0,0,0,1,0,0
448,3,1,2,1,3,305.0,0,0,0,0,0,0,0,1,0,0
784,4,1,1,1,124,129.0,0,0,0,0,0,0,0,1,0,0
471,3,1,1,1,4,63.0,0,0,0,0,0,0,0,1,0,0
295,2,1,1,1,4,280.0,0,0,0,0,0,0,0,1,0,0
396,3,1,2,1,4,298.0,0,0,0,0,0,0,0,1,0,0
298,7,1,1,1,0,100.0,0,0,0,0,0,0,0,1,0,0
852,5,1,4,2,23,101.0,0,0,0,0,0,0,0,1,0,0
480,5,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
695,4,1,2,2,1,246.0,0,0,0,0,0,0,0,1,0,0
333,14,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
39,7,1,8,3,1,203.0,0,0,0,0,0,0,0,1,0,0
749,6,1,3,2,3,114.0,0,0,0,0,0,0,0,1,0,0
733,4,0,0,0,11,100.0,0,0,0,0,0,0,0,0,0,1
222,12,0,0,0,8,100.0,0,0,0,0,0,0,0,0,0,1
126,6,1,3,1,6,46.0,0,1,0,0,0,1,0,1,0,0
107,3,1,4,1,5,59.0,0,0,0,0,0,0,0,1,0,0
181,4,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
215,5,0,0,0,8,100.0,0,0,0,0,0,0,0,0,0,1
366,6,1,4,2,6,13.0,1,0,0,0,1,1,1,0,1,0
836,5,1,1,1,19,162.0,0,0,0,0,0,0,0,1,0,0
500,12,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
562,6,1,2,2,92,100.0,0,0,0,0,0,0,0,1,0,0
766,12,1,1,1,124,129.0,0,0,0,0,0,0,0,1,0,0
100,4,1,1,1,7,1603.0,0,0,0,0,0,0,0,1,0,0
531,7,0,0,0,4,100.0,0,0,0,0,0,0,0,0,0,1
821,7,1,3,2,0,100.0,0,0,0,0,0,0,0,1,0,0
114,5,1,4,1,5,59.0,0,0,0,0,0,0,0,1,0,0
706,7,0,0,0,3,100.0,0,0,0,0,0,0,0,0,0,1
274,4,1,1,1,20,69.0,0,0,0,0,0,0,0,1,0,0
428,5,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
700,4,1,2,1,5,254.0,0,0,0,0,0,0,0,1,0,0
701,3,0,0,0,13,100.0,0,0,0,0,0,0,0,0,0,1
746,7,1,6,4,3,114.0,0,0,0,0,0,0,0,1,0,0
322,6,1,3,2,1,72.0,0,0,0,0,0,0,0,1,0,0
216,5,0,0,0,8,100.0,0,0,0,0,0,0,0,0,0,1
443,5,1,18,3,13,101.0,0,0,0,0,0,0,0,1,0,0
17,7,1,6,2,1,203.0,0,0,0,0,0,0,0,1,0,0
812,7,1,5,3,124,27.0,1,0,0,0,0,1,1,0,1,0
773,4,1,2,2,21,203.0,0,0,0,0,0,0,0,1,0,0
78,14,1,4,3,1,203.0,0,0,0,0,0,0,0,1,0,0
683,5,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
606,5,1,2,2,92,60.0,0,0,0,0,0,0,0,1,0,0
755,2,1,2,1,5,106.0,0,0,0,0,0,0,0,1,0,0
68,9,1,6,3,1,203.0,0,0,0,0,0,0,0,1,0,0
399,6,1,1,1,7,1.0,0,1,1,1,1,1,1,0,1,0
632,7,1,4,2,92,9.0,1,1,0,1,1,1,1,0,1,0
529,3,1,1,1,4,281.0,0,0,0,0,0,0,0,1,0,0
427,5,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
709,5,1,3,2,49,60.0,0,0,0,0,0,0,0,1,0,0
743,14,1,2,1,49,60.0,0,0,0,0,0,0,0,1,0,0
461,9,1,1,1,25,37.0,1,0,0,0,0,1,1,0,1,0
326,5,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
841,12,1,1,1,19,162.0,0,0,0,0,0,0,0,1,0,0
316,5,1,3,2,0,100.0,0,0,0,0,0,0,0,1,0,0
287,6,1,2,2,0,100.0,0,0,0,0,0,0,0,1,0,0
204,5,0,0,0,7,100.0,0,0,0,0,0,0,0,0,0,1
310,5,1,4,3,0,100.0,0,0,0,0,0,0,0,1,0,0
305,15,1,2,2,119,28.0,1,0,0,0,0,1,1,0,1,0
157,3,1,6,1,3,4.0,0,1,1,1,1,1,1,0,1,0
269,4,0,0,0,6,100.0,0,0,0,0,0,0,0,0,0,1
577,2,1,1,1,7,67.0,0,0,0,0,0,0,0,1,0,0
217,7,1,4,1,8,65.0,0,0,0,0,0,0,0,1,0,0
832,6,1,1,1,2,1.0,0,1,1,1,1,1,1,0,1,0
564,12,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
219,6,0,0,0,8,100.0,0,0,0,0,0,0,0,0,0,1
104,3,1,4,1,5,59.0,0,0,0,0,0,0,0,1,0,0
551,3,0,0,0,36,100.0,0,0,0,0,0,0,0,0,0,1
361,9,1,1,1,119,28.0,1,0,0,0,0,1,1,0,1,0
553,2,1,1,1,4,301.0,0,0,0,0,0,0,0,1,0,0
228,7,1,4,1,7,65.0,0,0,0,0,0,0,0,1,0,0
660,6,1,1,1,15,1856.0,0,0,0,0,0,0,0,1,0,0
170,4,0,0,0,6,100.0,0,0,0,0,0,0,0,0,0,1
748,4,1,3,2,3,114.0,0,0,0,0,0,0,0,1,0,0
77,12,1,4,3,1,203.0,0,0,0,0,0,0,0,1,0,0
265,4,1,4,2,1,693.0,0,0,0,0,0,0,0,1,0,0
30,6,1,6,3,1,203.0,0,0,0,0,0,0,0,1,0,0
7,5,1,3,1,7,48.0,1,0,0,0,0,1,0,1,0,0
833,7,0,0,0,4,100.0,0,0,0,0,0,0,0,0,0,1
785,5,1,5,2,124,80.0,0,0,0,0,0,0,0,1,0,0
297,6,1,4,2,1,59.0,0,0,0,0,0,0,0,1,0,0
802,5,1,4,2,2,27.0,1,0,0,0,0,1,1,0,1,0
388,7,1,5,4,22,203.0,0,0,0,0,0,0,0,1,0,0
175,6,0,0,0,6,100.0,0,0,0,0,0,0,0,0,0,1
318,3,0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,1
590,14,1,1,1,92,100.0,0,0,0,0,0,0,0,1,0,0
