id,p_llm,logit_llm
526,0.8354835371034369,1.625
314,0.9740426428022031,3.625
672,0.9991959140643708,7.125
707,0.9998415637808975,8.75
665,0.9740426428022031,3.625
346,3.5356250741744315e-05,-10.25
213,0.9998204720306533,8.625
509,0.9992903296008995,7.25
559,0.9875683491468141,4.375
321,4.691163801764229e-08,-16.875
49,0.9998911030899734,9.125
112,0.9902915235185259,4.625
338,0.9982992775885648,6.375
447,0.8519528019683106,1.75
554,0.01798620996209156,-4.0
643,0.9669140216112958,3.375
703,0.9924227587321393,4.875
578,1.2098656835274182e-06,-13.625
527,2.7535691114583473e-05,-10.5
790,0.5,0.0
192,0.9998204720306533,8.625
583,0.9902915235185259,4.625
580,0.0021827164453451808,-6.125
448,1.275190428876251e-07,-15.875
784,0.34864513533394575,-0.625
471,0.007577241267860811,-4.875
295,0.5312093733737563,0.125
396,9.610241549947396e-05,-9.25
298,6.825602910446286e-08,-16.5
852,0.9995121428772178,7.625
480,0.9890130573694068,4.5
695,0.9924227587321393,4.875
333,0.7981867777396212,1.375
39,0.9997694932780068,8.375
749,0.9525741268224334,3.0
733,0.9998204720306533,8.625
222,0.9971990730328789,5.875
126,0.10669059394565118,-2.125
107,0.991422514586288,4.75
181,0.9997694932780068,8.375
215,0.9999339478551454,9.625
366,0.6513548646660542,0.625
836,0.999983298578152,11.0
500,0.8354835371034369,1.625
562,0.9706877692486436,3.5
766,0.07585818002124355,-2.5
100,0.9993736658418905,7.375
531,0.000295957113513077,-8.125
821,0.9971990730328789,5.875
114,0.9626731126558706,3.25
706,3.927862002670442e-07,-14.75
274,0.9997388096809043,8.25
428,0.998498817743263,6.5
700,0.008577485413711984,-4.75
701,0.9990889488055994,7.0
746,0.9990889488055994,7.0
322,0.999620015485248,7.875
216,0.9999756997592568,10.625
443,0.9980732653366725,6.25
17,0.9998415637808975,8.75
812,0.9626731126558706,3.25
773,0.9990889488055994,7.0
78,0.9994472213630764,7.5
683,0.9999785550515792,10.75
606,0.9902915235185259,4.625
755,0.9706877692486436,3.5
68,0.999704042886487,8.125
399,7.889262586245034e-06,-11.75
632,0.9947798743064417,5.25
529,6.475947982049267e-07,-14.25
427,0.9947798743064417,5.25
709,0.9999646437492582,10.25
743,0.9999417087343389,9.75
461,0.9997694932780068,8.375
326,0.998498817743263,6.5
841,0.060086650174007626,-2.75
316,0.9994472213630764,7.5
287,0.9990889488055994,7.0
204,0.9993736658418905,7.375
310,0.9996646498695336,8.0
305,0.6224593312018546,0.5
157,0.9579122720843811,3.125
269,0.9999938558253978,12.0
577,0.9991959140643708,7.125
217,0.9999724643088853,10.5
832,4.222833444659923e-06,-12.375
564,0.8354835371034369,1.625
219,0.9995694429186754,7.75
104,0.9840936082881853,4.125
551,0.9988304897349445,6.75
361,0.9986749775827868,6.625
553,0.9978172835546547,6.125
228,0.9999869928715335,11.25
660,0.8933094060543487,2.125
170,0.9998415637808975,8.75
748,0.9626731126558706,3.25
77,0.9940889311437562,5.125
265,0.9947798743064417,5.25
30,0.9971990730328789,5.875
7,0.9990889488055994,7.0
833,0.00037998451475186455,-7.875
785,0.20181322226037884,-1.375
297,0.9953904278206259,5.375
802,0.9046505351008906,2.25
388,0.9997965730219448,8.5
175,0.9993736658418905,7.375
318,0.9740426428022031,3.625
590,0.9241418199787566,2.5
150,0.9626731126558706,3.25
426,0.9859363729567544,4.25
604,0.320821300824607,-0.75
306,0.0021827164453451808,-6.125
565,0.8807970779778823,2.0
152,0.9465966702001757,2.875
647,0.007577241267860811,-4.875
454,0.9997965730219448,8.5
670,0.9995694429186754,7.75
385,0.7310585786300049,1.0
251,0.9999869928715335,11.25
739,0.9999687980886061,10.375
630,0.9875683491468141,4.375
759,0.34864513533394575,-0.625
525,5.3157849718487075e-08,-16.75
679,0.9999038975845005,9.25
131,0.00037998451475186455,-7.875
857,0.9149009549929797,2.375
486,0.9992903296008995,7.25
414,0.5312093733737563,0.125
610,0.9770226300899744,3.75
588,0.7057850278370112,0.875
714,0.9999485577862579,9.875
783,1.63737686249047e-07,-15.625
689,0.999981074851754,10.875
552,0.00020342697805520653,-8.5
477,0.991422514586288,4.75
848,0.998498817743263,6.5
256,0.999620015485248,7.875
9,0.9525741268224334,3.0
129,0.004609572179374208,-5.375
364,0.9996646498695336,8.0
528,0.5312093733737563,0.125
421,0.00359360258142009,-5.625
38,0.999704042886487,8.125
349,0.9890130573694068,4.5
302,0.9998911030899734,9.125
484,0.8807970779778823,2.0
494,0.9890130573694068,4.5
793,0.5312093733737563,0.125
110,0.9902915235185259,4.625
81,0.0008040859356292356,-7.125
239,0.7772998611746911,1.25
511,0.9465966702001757,2.875
476,0.9990889488055994,7.0
460,0.8519528019683106,1.75
286,0.9953904278206259,5.375
614,0.9046505351008906,2.25
184,0.9999646437492582,10.25
51,0.9999646437492582,10.25
757,0.999620015485248,7.875
101,0.9993736658418905,7.375
266,0.9986749775827868,6.625
692,5.144221374220898e-05,-9.875
278,0.9998415637808975,8.75
622,0.9875683491468141,4.375
719,0.9999869928715335,11.25
762,0.9740426428022031,3.625
711,0.999988521231873,11.375
249,0.9998766054240137,9.0
254,0.9999251537724895,9.5
258,0.9998766054240137,9.0
581,0.9992903296008995,7.25
767,0.05340332979982423,-2.875
136,0.991422514586288,4.75
355,0.999620015485248,7.875
88,0.9740426428022031,3.625
82,0.0006263341581094202,-7.375
236,0.2689414213699951,-1.0
633,0.9770226300899744,3.75
244,0.9046505351008906,2.25
379,0.9998204720306533,8.625
