subgroup,n,macro_f2,fp,fn,recall_applicable,precision_applicable
protocol_len Q1 (shortest),174,0.7860211341344003,14,22,0.8018018018018018,0.8640776699029126
protocol_len Q2,171,0.8297184726577032,9,17,0.8617886178861789,0.9217391304347826
protocol_len Q3,198,0.8324130371416489,6,28,0.7477477477477478,0.9325842696629213
protocol_len Q4 (longest),147,0.7676252319109462,13,14,0.8703703703703703,0.8785046728971962
age available,678,0.8212539286155132,39,79,0.8224719101123595,0.9037037037037037
age missing,12,0.4974326059050064,3,2,0.75,0.6666666666666666
gender available,497,0.8246586075665996,26,62,0.7967213114754098,0.9033457249070632
gender missing,193,0.7555672593967959,16,19,0.8716216216216216,0.8896551724137931
ICD available,497,0.8246586075665996,26,62,0.7967213114754098,0.9033457249070632
ICD missing,193,0.7555672593967959,16,19,0.8716216216216216,0.8896551724137931
complaints available,687,0.8165519018955629,42,80,0.8226164079822617,0.8983050847457628
complaints missing,3,0.6944444444444444,0,1,0.5,1.0
history available,450,0.8286353992672297,22,56,0.7992831541218638,0.9102040816326531
history missing,240,0.7739194202398412,20,25,0.8563218390804598,0.8816568047337278
objective available,503,0.8202200915950051,28,63,0.7961165048543689,0.8978102189781022
objective missing,187,0.7709943623887145,14,18,0.875,0.9
