subgroup,n,macro_f2_c2,macro_f2_g,delta_macro_f2,m2_c2,m2_g,delta_m2,stability_flag
age missing,12,0.35714285714285715,0.4974326059050064,0.14028974876214922,0.0,0.0,0.0,small_n
age available,678,0.8127614392545606,0.8212539286155132,0.008492489360952593,0.6950254205656902,0.7138976191455848,0.01887219857989464,stable
gender/ICD missing,193,0.7246996996996997,0.7555672593967959,0.030867559697096203,0.4993326659993327,0.5679272431039909,0.06859457710465822,stable
gender/ICD available,497,0.8200177068242289,0.8246586075665996,0.004640900742370668,0.7111504596093976,0.7214635723702213,0.010313112760823695,stable
contradiction present,94,0.7752403846153846,0.7846642069242387,0.00942382230885408,0.6116452991452991,0.6325871264983082,0.02094182735300909,stable
contradiction absent,596,0.8102813044560617,0.8210413747326499,0.010760070276588207,0.6895140099023593,0.7134252771836666,0.023911267281307214,stable
missing structured information,245,0.7321260333594299,0.756146961536691,0.02402092817726109,0.5158356296876221,0.5692154700815356,0.053379840393913525,stable
complete structured information,445,0.8334704163536368,0.8381423833948046,0.0046719670411677905,0.7410453696747485,0.7514275186551214,0.010382148980372818,stable
protocol_len Q1 (shortest),174,0.7713259452190049,0.7860211341344003,0.014695188915395452,0.602946544931122,0.6356025202986674,0.03265597536754539,stable
protocol_len Q2,171,0.8115468409586056,0.8297184726577032,0.018171631699097524,0.6923263132413459,0.7327077170171181,0.04038140377577226,stable
protocol_len Q3,198,0.8263973418429451,0.8324130371416489,0.006015695298703827,0.7253274263176558,0.7386956380925532,0.013368211774897443,stable
protocol_len Q4 (longest),147,0.7676252319109462,0.7676252319109462,0.0,0.5947227375798805,0.5947227375798805,0.0,stable
