id,label,proba_t2_pilot
314,1,0.72887003
338,1,0.68882835
643,1,0.49939498
578,0,0.088635266
298,1,0.2815494
222,1,0.8945735
126,1,0.16591308
500,1,0.8191843
100,1,0.8589888
216,1,0.9098662
683,0,0.83607906
606,1,0.88736725
632,1,0.8766337
709,1,0.863567
461,1,0.553483
326,1,0.78178555
305,0,0.2914327
217,1,0.9094082
361,1,0.79494905
660,1,0.55229235
77,1,0.87742376
265,1,0.368531
833,1,0.28968138
426,1,0.83270454
565,0,0.8717026
670,1,0.84731865
131,1,0.3042365
857,1,0.5943594
783,0,0.3357028
689,1,0.841672
848,1,0.8100545
256,0,0.65714335
364,1,0.67840135
38,1,0.90589345
793,1,0.38526186
110,1,0.5820494
184,0,0.9094082
762,0,0.30363798
249,1,0.8624883
254,1,0.84842545
633,1,0.8687106
379,0,0.6391953
859,1,0.79078144
350,1,0.3875573
18,1,0.8994575
761,1,0.3477258
337,0,0.5469089
245,1,0.68922615
195,1,0.9094082
495,1,0.89232785
111,0,0.29909587
240,0,0.49400583
143,0,0.65629107
850,1,0.31136292
658,0,0.58389664
803,1,0.46892145
397,0,0.11184619
548,1,0.42379844
678,0,0.6499434
31,1,0.8923767
534,1,0.89232785
282,0,0.6366244
185,0,0.9077101
395,1,0.6521968
487,0,0.33484626
648,1,0.6655163
257,1,0.75106347
702,0,0.11267287
62,1,0.8994575
636,1,0.8191843
718,1,0.841672
582,1,0.88736725
344,1,0.7045344
97,1,0.8076377
253,0,0.83607906
569,1,0.85801494
354,0,0.6391953
373,0,0.095545076
115,0,0.5957864
47,1,0.9018908
87,0,0.30216226
747,0,0.82656467
320,0,0.16118228
177,0,0.8755891
838,0,0.7914208
561,1,0.8687106
688,1,0.7606787
15,1,0.90557194
182,1,0.90941423
540,1,0.8717026
418,1,0.22075364
173,1,0.9094082
389,0,0.83925444
644,1,0.50274897
507,1,0.7846984
120,0,0.29909587
431,0,0.66622967
280,0,0.51304835
275,1,0.72776043
3,1,0.7149893
95,1,0.8076377
394,0,0.41773477
616,1,0.79284155
505,1,0.78259027
369,1,0.29949528
446,0,0.107083894
731,1,0.81834954
720,1,0.65008235
163,1,0.82161355
825,1,0.29127872
462,1,0.7253703
438,1,0.7196686
72,1,0.90561545
651,1,0.11478915
851,1,0.3411406
432,0,0.2914327
814,0,0.30522656
332,0,0.5392853
417,0,0.21670234
813,0,0.28031456
545,1,0.83361787
166,1,0.82507944
391,1,0.85947293
594,0,0.7550115
312,0,0.5771587
80,0,0.1752758
697,0,0.40074143
608,0,0.8766337
809,1,0.44880337
273,1,0.576559
79,1,0.9042935
742,1,0.75106347
197,1,0.907855
712,0,0.83607906
147,1,0.56893706
837,0,0.81930524
520,1,0.7384672
29,1,0.8994575
