subgroup,n,macro_f2,m2,applicable_rate
protocol_len Q1 (shortest),174,0.7713259452190049,0.602946544931122,0.6379310344827587
protocol_len Q2,171,0.8115468409586056,0.6923263132413459,0.7192982456140351
protocol_len Q3,198,0.8263973418429451,0.7253274263176558,0.5606060606060606
protocol_len Q4 (longest),147,0.7676252319109462,0.5947227375798805,0.7346938775510204
age available,678,0.8127614392545606,0.6950254205656902,0.6563421828908554
age missing,12,0.35714285714285715,0.0,0.6666666666666666
gender available,497,0.8200177068242289,0.7111504596093976,0.613682092555332
gender missing,193,0.7246996996996997,0.4993326659993327,0.7668393782383419
ICD available,497,0.8200177068242289,0.7111504596093976,0.613682092555332
ICD missing,193,0.7246996996996997,0.4993326659993327,0.7668393782383419
