threshold,macro_f2,macro_f1,accuracy,m2,tn,fp,fn,tp
0.1,0.5954188153355506,0.5992037451607738,0.7318840579710145,0.21204181185677917,54,183,2,451
0.11,0.6030321519319736,0.6086192280841728,0.736231884057971,0.22896033762660792,57,180,2,451
0.12,0.6106050154195748,0.6178751867928556,0.7405797101449275,0.24578892315461065,60,177,2,451
0.13,0.6131203745271874,0.6209259259259259,0.7420289855072464,0.2513786100604164,61,176,2,451
0.14,0.6231375365412043,0.6329607708863236,0.7478260869565218,0.27363897009156507,65,172,2,451
0.15,0.6330845163610851,0.6447349292498545,0.7536231884057971,0.2957433696913002,69,168,2,451
0.16,0.6454208638190437,0.6591021376107506,0.7608695652173914,0.3231574751534305,74,163,2,451
0.17,0.6552130759863379,0.6703277136608194,0.7666666666666667,0.34491794663630654,78,159,2,451
0.18,0.6639041542222103,0.67998919794761,0.7710144927536232,0.36423145382713396,82,155,3,450
0.19,0.6676985602006315,0.6840539555231498,0.7724637681159421,0.37266346711251436,84,153,4,449
0.2,0.6762584592121523,0.6933333333333334,0.7768115942028986,0.39168546491589407,88,149,5,448
0.21,0.6965517268731937,0.7151018099547511,0.7884057971014493,0.4367816152737637,97,140,6,447
0.22,0.7012504947423596,0.7201095223608154,0.7913043478260869,0.4472233216496879,99,138,6,447
0.23,0.7048575510746563,0.7236714975845411,0.7927536231884058,0.4552390023881251,101,136,7,446
0.24,0.7130841206298583,0.7320388349514563,0.7971014492753623,0.47352026806635167,105,132,8,445
0.25,0.7156553363710978,0.7336060523916311,0.7956521739130434,0.47923408082466173,108,129,12,441
0.26,0.7146687452142149,0.7317722279460337,0.7927536231884058,0.47704165603158855,109,128,15,438
0.27,0.7136638240166864,0.7299412915851271,0.7898550724637681,0.4748084978148586,110,127,18,435
0.28,0.7216880125267863,0.7373080128111265,0.7927536231884058,0.4926400278373028,115,122,21,432
0.29,0.7329094781384857,0.7480157322677008,0.7985507246376812,0.5175766180855238,121,116,23,430
0.3,0.7328912543989763,0.7474272088353413,0.7971014492753623,0.5175361208866139,122,115,25,428
0.31,0.7426723434968024,0.7556356245380635,0.8,0.5392718744373387,129,108,30,423
0.32,0.7466833846276584,0.7578097578097578,0.7985507246376812,0.5481852991725742,134,103,36,417
0.33,0.7496852079081281,0.7598473599735585,0.7985507246376812,0.554856017573618,137,100,39,414
0.34,0.7570745635509571,0.7666345034766087,0.8028985507246377,0.5712768078910159,141,96,40,413
0.35,0.7589953530469179,0.7678813483857563,0.8028985507246377,0.5755452289931509,143,94,42,411
0.36,0.7576084241074026,0.7657011249889273,0.8,0.5724631646831169,144,93,45,408
0.37,0.7613219789900444,0.7680751356670337,0.8,0.5807155088667653,148,89,49,404
0.38,0.7622331056001024,0.768649898927072,0.8,0.5827402346668942,149,88,50,403
0.39,0.7661100232085871,0.7717212550621952,0.8014492753623188,0.5913556071301936,152,85,52,401
0.4,0.777301659455219,0.7818631207847946,0.808695652173913,0.6162259099004866,158,79,53,400
0.41,0.7781570774956736,0.7823655913978494,0.808695652173913,0.6181268388792748,159,78,54,399
0.42,0.7806836492370679,0.7838345864661653,0.808695652173913,0.6237414427490398,162,75,57,396
0.43,0.7811287369616483,0.7833871108603854,0.8072463768115942,0.6247305265814407,164,73,60,393
0.44,0.7859756699513578,0.7875550854926847,0.8101449275362319,0.6355014887807952,167,70,61,392
0.45,0.788781662358558,0.7898391812865497,0.8115942028985508,0.6417370274634621,169,68,62,391
0.46,0.7923460198945635,0.792522802445625,0.8130434782608695,0.649657821987919,172,65,64,389
0.47,0.7902060941791189,0.7891666666666667,0.808695652173913,0.6449024315091532,174,63,69,384
0.48,0.7880159205543875,0.785808397966387,0.8043478260869565,0.64003537900975,176,61,74,379
0.49,0.7992351053687787,0.7954222011385199,0.8115942028985508,0.6649669008195083,183,54,76,377
0.5,0.8057439457082438,0.8010123098512871,0.8159420289855073,0.679430990462764,187,50,77,376
0.51,0.8096885227878183,0.8037365455464855,0.8173913043478261,0.688196717306263,191,46,80,373
0.52,0.8116487044255905,0.8046836387164027,0.8173913043478261,0.6925526765013121,194,43,83,370
0.53,0.8173349707579234,0.8089649813787745,0.8202898550724638,0.7051888239064964,199,38,86,367
0.54,0.817891548679025,0.8084095437592602,0.8188405797101449,0.7064256637311667,202,35,90,363
0.55,0.8153431964573269,0.8056204374704704,0.8159420289855073,0.7007626587940597,202,35,92,361
0.56,0.8082727272727273,0.7975508439242089,0.8072463768115942,0.685050505050505,203,34,99,354
0.57,0.803156674597572,0.7920090826881061,0.8014492753623188,0.6736814991057155,203,34,103,350
0.58,0.7998802959177718,0.7881281583380124,0.7971014492753623,0.6664006575950484,204,33,107,346
0.59,0.7973143781049288,0.7853669222343922,0.7942028985507247,0.6606986180109529,204,33,109,344
0.6,0.798210286787546,0.785004107299663,0.7927536231884058,0.6626895261945467,208,29,114,339
0.61,0.789164808655814,0.7753535739401464,0.782608695652174,0.6425884636795866,208,29,121,332
0.62,0.7844982899087531,0.7700875856816451,0.7768115942028986,0.6322184220194514,209,28,126,327
0.63,0.7895811276199032,0.7739655172413793,0.7797101449275362,0.6435136169331181,214,23,129,324
0.64,0.7857631080934628,0.7690624329543017,0.7739130434782608,0.635029129096584,217,20,136,317
0.65,0.7752512070175615,0.7580169191422388,0.7623188405797101,0.6116693489279144,217,20,144,309
0.66,0.7712763213460705,0.7530338151077175,0.7565217391304347,0.6028362696579345,220,17,151,302
0.67,0.7694561598224195,0.7505974604740562,0.7536231884057971,0.5987914662720434,222,15,155,298
0.68,0.7675980157347089,0.7481324278438031,0.7507246376811594,0.594662257188242,224,13,159,294
